Orientation: 0.00
Index	Theta	Radius	Density

===================================================
Orientation: 10.00
Index	Theta	Radius	Density
0	10.000	15.06	1.0000
1	10.000	15.06	1.0000
2	10.000	15.07	1.0000
3	10.000	15.08	1.0000
4	10.000	15.09	1.0000
5	10.000	15.09	1.0000

===================================================
Orientation: 20.00
Index	Theta	Radius	Density
0	20.000	15.06	1.0000
1	20.000	15.06	1.0000
2	20.000	15.11	1.0000
3	20.000	15.11	1.0000
4	20.000	15.14	1.0000
5	20.000	15.14	1.0000
6	20.000	15.15	1.0000
7	20.000	15.15	1.0000

===================================================
Orientation: 30.00
Index	Theta	Radius	Density
0	30.000	15.10	1.0000
1	30.000	15.10	1.0000
2	30.000	15.13	1.0000
3	30.000	15.13	1.0000
4	30.000	15.16	1.0000
5	30.000	15.16	1.0000
6	30.000	15.18	1.0000
7	30.000	15.18	1.0000
8	30.000	15.19	1.0000
9	30.000	15.19	1.0000
10	30.000	15.20	1.0000
11	30.000	15.20	1.0000

===================================================
Orientation: 40.00
Index	Theta	Radius	Density
0	40.000	15.19	1.0000
1	40.000	15.19	1.0000
2	40.000	15.21	1.0000
3	40.000	15.21	1.0000
4	40.000	15.22	1.0000
5	40.000	15.22	1.0000
6	40.000	15.24	1.0000
7	40.000	15.24	1.0000
8	40.000	15.25	1.0000
9	40.000	15.25	1.0000
10	40.000	15.27	1.0000
11	40.000	15.27	1.0000
12	40.000	15.28	1.0000
13	40.000	15.28	1.0000
14	40.000	15.29	1.0000
15	40.000	15.29	1.0000
16	40.000	15.30	1.0000
17	40.000	15.30	1.0000

===================================================
Orientation: 50.00
Index	Theta	Radius	Density
0	50.000	15.26	1.0000
1	50.000	15.26	1.0000
2	50.000	15.28	1.0000
3	50.000	15.28	1.0000
4	50.000	15.30	1.0000
5	50.000	15.30	1.0000
6	50.000	15.31	1.0000
7	50.000	15.31	1.0000
8	50.000	15.32	1.0000
9	50.000	15.32	1.0000
10	50.000	15.34	1.0000
11	50.000	15.34	1.0000
12	50.000	15.34	1.0000
13	50.000	15.34	1.0000
14	50.000	15.35	1.0000
15	50.000	15.35	1.0000
16	50.000	15.37	1.0000
17	50.000	15.37	1.0000
18	50.000	15.38	1.0000
19	50.000	15.38	1.0000
20	50.000	15.39	1.0000
21	50.000	15.39	1.0000
22	50.000	15.39	1.0000
23	50.000	15.39	1.0000
24	50.000	15.40	1.0000
25	50.000	15.40	1.0000
26	50.000	15.40	1.0000
27	50.000	15.40	1.0000
28	50.000	15.41	1.0000
29	50.000	15.41	1.0000
30	50.000	15.41	1.0000
31	50.000	15.41	1.0000
32	50.000	15.42	1.0000

===================================================
Orientation: 60.00
Index	Theta	Radius	Density
0	60.000	15.38	1.0000
1	60.000	15.40	1.0000
2	60.000	15.40	1.0000
3	60.000	15.41	1.0000
4	60.000	15.41	1.0000
5	60.000	15.41	1.0000
6	60.000	15.41	1.0000
7	60.000	15.42	1.0000
8	60.000	15.42	1.0000
9	60.000	15.43	1.0000
10	60.000	15.43	1.0000
11	60.000	15.43	1.0000
12	60.000	15.43	1.0000
13	60.000	15.44	1.0000
14	60.000	15.44	1.0000
15	60.000	15.45	1.0000
